Referencia,# factura,Codigo de barras,Silueta,Cantidad,Descripcion ventas,Disponible,IVA,Subtotal,Total,Porcentaje IVA,Fecha venta,% Descuento,Descuento,Precio venta,Precio venta fijo,tipo de pago,ID,Cedula
,5.1200000000000000e+02,"1192119179101075585",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"08/22/98 00:00:00",0.0000,0.0000,0.0000,69000.0000,,270747,0.0000000000000000e+00
,5.1300000000000000e+02,"1262119134106363107",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"08/24/98 00:00:00",0.0000,0.0000,0.0000,52990.0000,,270748,0.0000000000000000e+00
,5.1300000000000000e+02,"1192110109225053338",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"08/24/98 00:00:00",0.0000,0.0000,0.0000,79000.0000,,270749,0.0000000000000000e+00
,5.1300000000000000e+02,"1192119134101075692",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"08/24/98 00:00:00",0.0000,0.0000,0.0000,59000.0000,,270750,0.0000000000000000e+00
,5.1400000000000000e+02,"1152141152239343530",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"08/24/98 00:00:00",0.0000,0.0000,0.0000,69000.0000,,270751,0.0000000000000000e+00
,5.1400000000000000e+02,"1072110114172103803",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"08/24/98 00:00:00",0.0000,0.0000,0.0000,69990.0000,,270752,0.0000000000000000e+00
,5.1500000000000000e+02,"1072113122108101997",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"08/25/98 00:00:00",0.0000,0.0000,0.0000,119990.0000,,270753,0.0000000000000000e+00
,5.1600000000000000e+02,"11921141141010S4248",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"08/26/98 00:00:00",0.0000,0.0000,0.0000,39000.0000,,270754,0.0000000000000000e+00
,5.1600000000000000e+02,"11921001491010M1831",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"08/26/98 00:00:00",0.0000,0.0000,0.0000,39000.0000,,270755,0.0000000000000000e+00
,5.1700000000000000e+02,"103111211710132631",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"08/27/98 00:00:00",0.0000,0.0000,0.0000,76990.0000,,270756,0.0000000000000000e+00
,5.1700000000000000e+02,"1051112116142341021",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"08/27/98 00:00:00",0.0000,0.0000,0.0000,74990.0000,,270757,0.0000000000000000e+00
,5.1800000000000000e+02,"11921001601080S3489",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"08/27/98 00:00:00",0.0000,0.0000,0.0000,49000.0000,,270758,0.0000000000000000e+00
,5.1900000000000000e+02,"1072113119101102733",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"08/27/98 00:00:00",0.0000,0.0000,0.0000,109990.0000,,270759,0.0000000000000000e+00
,5.2000000000000000e+02,"11551211331010U3570",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"08/28/98 00:00:00",0.0000,0.0000,0.0000,135000.0000,,270760,0.0000000000000000e+00
,5.5500000000000000e+02,"1362112175110145109",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"09/19/98 00:00:00",0.5000,0.0000,0.0000,54990.0000,,270817,0.0000000000000000e+00
,5.5600000000000000e+02,"12751021001020M1345",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"09/19/98 00:00:00",0.2000,0.0000,0.0000,22990.0000,,270818,0.0000000000000000e+00
,5.5600000000000000e+02,"10321001001040L4079",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"09/19/98 00:00:00",0.2000,0.0000,0.0000,39990.0000,,270819,0.0000000000000000e+00
,5.5600000000000000e+02,"12751021001020L1346",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"09/19/98 00:00:00",0.2000,0.0000,0.0000,22990.0000,,270820,0.0000000000000000e+00
,5.5700000000000000e+02,"1361112124110324808",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"09/19/98 00:00:00",0.6000,0.0000,0.0000,54990.0000,,270821,0.0000000000000000e+00
,5.5700000000000000e+02,"10621001431090S4087",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"09/19/98 00:00:00",0.3000,0.0000,0.0000,39990.0000,,270822,0.0000000000000000e+00
,5.5700000000000000e+02,"1022100143191102649",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"09/19/98 00:00:00",0.2000,0.0000,0.0000,50990.0000,,270823,0.0000000000000000e+00
,5.5800000000000000e+02,"107210110210212416",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"09/19/98 00:00:00",0.4000,0.0000,0.0000,59990.0000,,270824,0.0000000000000000e+00
,5.5800000000000000e+02,"11921011021310M3266",,1,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"09/19/98 00:00:00",0.2000,0.0000,0.0000,69900.0000,,270825,0.0000000000000000e+00
